"image_link","surrounding_text","href"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2024/08/343/193/lake-mead-national-recreation-area.jpg?ve=1&tl=1&tl=1&ve=1","Popular American travel spot closed after hiker's death, huge spike in rescue operations - Fox News 56˚ Popular American travel spot closed after hiker's death, huge spike in rescue operations
3 min read","https://www.foxnews.com/us/arizona-recreation-area-closed-after-hiker-death-nearly-3-dozen-rescues-just-2-days"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/d0da3703b11de247a6325e6281e14abf.png?tl=1&ve=1","City rocked by Dem bribery scandal prepares for vote that could reset the narrative - Fox News 56˚ City rocked by Dem bribery scandal prepares for vote that could reset the narrative
5 min read","https://www.foxnews.com/politics/fed-up-embattled-blue-citys-future-hangs-balance-ahead-mayoral-special-election"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/fdfc753242fe33fb87f8216ec7b3fa5d.png?tl=1&ve=1","Trump says America’s getting ripped off, and these foreign car prices prove his point - Fox News 56˚ Trump says America’s getting ripped off, and these foreign car prices prove his point
5 min read","https://www.foxbusiness.com/fox-news-world/sticker-shock-why-us-cars-frozen-out-european-market"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/gettyimages-1280809655.jpg?tl=1&ve=1","'Bubbling' teriyaki sauce recalled by FDA due to swelling bottles - Fox News 56˚ FOOD FOOD","https://www.foxnews.com/food-drink/bubbling-teriyaki-sauce-recalled-after-shelf-stable-bottles-began-swell-fda"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/c8df5605a0142d2ba3cf3ab418e6bd04.jpg?tl=1&ve=1","AI transforms patient care and reduces burnout, physician says - Fox News 56˚ HEALTH HEALTH","https://www.foxnews.com/health/artificial-intelligence-transforms-patient-care-reduces-burnout-physician-says"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/e385b6c4474d672134c51a28d823f61e.png?tl=1&ve=1","Blue city’s latest art piece? A 45-foot nude that’s raising eyebrows - Fox News 56˚ Blue city’s latest art piece? A 45-foot nude that’s raising eyebrows
5 min read","https://www.foxnews.com/us/massive-nude-woman-statue-blue-city-sparks-reaction-after-public-unveiling-embarrassed"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/bd16013888c1dbfb590f9c0448c6d147.jpg?tl=1&ve=1","Marco Rubio shares the hard truth about what it takes to make America safer - Fox News 56˚ OPINION OPINION","https://www.foxnews.com/opinion/secretary-rubio-why-making-america-safer-means-revoking-visas-when-threats-arise"
"https://a57.foxnews.com/static.foxnews.com/foxnews.com/content/uploads/2025/04/343/193/hamas.png?tl=1&ve=1","Freed hostage calls on Trump to act as 'modern Moses' to save brother from 'lunatics' - Fox News 56˚ ANTISEMITISM EXPOSED ANTISEMITISM EXPOSED","https://www.foxnews.com/category/topic/anti-semitism"
"https://a57.foxnews.com/prod-hp.foxnews.com/images/2025/04/343/193/0c468824f0011146f4929b28353e4a28.jpg?tl=1&ve=1","Nicky Katt, 'Dazed and Confused' and 'Boston Public' star, dead at 54 - Fox News 56˚ Nicky Katt, 'Dazed and Confused' and 'Boston Public' star, dead at 54
4 min read","https://www.foxnews.com/entertainment/nicky-katt-dazed-confused-boston-public-actor-dead-54"
"https://images.foxweather.com/static.foxweather.com/www.foxweather.com/content/uploads/2023/05/343/193/Rip-Current-Sign.png","Violent Florida rip current leaves teen dead, 2 others injured - Fox News 56˚ Violent Florida rip current leaves teen dead, 2 others injured","https://www.foxweather.com/weather-news/florida-rip-current-death-lake-worth-beach-april-2025"
